Comments,Output
Christian was fabulous. We would highly recommend! Made our honeymoon experience. Everything on the menu is elevated but reasonably priced. The ambiance is everything. Can't wait to come back,Ambiance - Great||Menu - Elevated||Price - Reasonable||Service - fabulous
"As soon as we walked in it was very very warm but I figured because we were super close to the door when we walked in that's why... just wait.

We got the soup dumplings which were 4/5 because they were super super delicate but very flavorful.

Also got the duck skewers which were my favorite part of the night. 5/5

At this point I started sweating a little bit but figured I would cool down...

Entrees came and I got the lamb chops which were served in a bowl which made it hard to eat and the chops were on the chewy side so it was a 3/5.

My boyfriend got the sesame chicken which was very tasty 5/5.

By the time we started eating I wanted to leave so bad because no A/C was running. My boyfriend & I were excited to get dessert but by this time we wanted to leave because we felt sweaty & gross... also, the warm water didn't help at all...

This place was good but needs some improvement on the small things. I'm being picky because I've worked in restaurants & I have a degree in hospitality administration so there was lots of little things that could've made my experience better.","Food - Soup dumplings (delicate and flavorful), Duck skewers (favorite), Lamb Chops (hard to eat in a bowl and chewy), Sesame chicken (tasty)||Ambiance - Very warm"
Visited from Hawaii and was looking for a place with good food and music. 1618 did NOT disappoint. Food and service was amazing! As well as the live performance. Jackie was our server for the night and did such an amazing job! She was very attentive with such a positive attitude. The GM Jonel was very kind and always made sure we were enjoying our evening. I would definitely recommend this place to others!,"Food - Amazing||Music - Live performance||Service - amazing, attentive with a positive attitude"
"1618 Asian fusion had great service! Shout out to Graham, Anj, Kiara and Bryan were so attentive. Super sweet, fast, and provided the best service at the bar top!

The Bao buns were delicious and General TSO chicken was fresh and full of flavor

The ambiance was super casual but lovely relaxing atmosphere, amidst the heavy traffic.","Food - Bao buns (delicious), General Tso chicken (fresh and flavorful)||Ambiance - casual but lovely relaxing atmosphere||Service - great, best service at the bar top, super sweet and fast"
"Huge menu.  Egg rolls for appetizer and Shrimp Panang Curry for main dish.

The egg rolls had a nice fry.  The combination of shrimp and pork worked well.

The shrimp curry started out great.  It was creamy with the right amount of spice.  It was a big dish and it got sweeter the more we ate.  The curry needed some acid or salt to balance the sweetness.  Exact same feedback for the vegetable curry.

In all a very good meal.","Food - Egg rolls (nice fry), Shrimp Panang Curry (started great but got sweeter, needed some acid to balance sweetness), Vegetable curry (started great but got sweeter, needed some acid to balance sweetness)||Menu - Huge"
"Came with friends for dinner on a Friday night. We had reservations for a table of 4. We were seated right away.

Our server greeted us promptly and had our drinks placed immediately. I tried the dragon fruit refresher and it was absolutely delicious!!

We split the appetizer for the table. I enjoyed the pork bun and the satays. The fresh spring roll, I would recommend, eating first because the wrap ends up sticking to the banana leaves and tears the longer you let them sit. I wish it was served with a peanut butter sauce, but it wasn't a deal breaker.

I ordered the green curry with filet mignon. Comes with steamed rice. The dish is so rich, but all I could taste was the smokiness of the steak. It overpowered the sweet curry. I liked that it had plenty of veggies and the steak was cut in bite sized pieces. It is on the spicier side, fair warning. You also can't adjust the spice level.

I tried my friend's crispy pad Thai, which was absolutely delicious. The sauce is rich and you can really get the lime flavor. It is pretty spicy though. I don't know if I'd be able to eat the whole dish, but it's yummy.

To get the spice out of my mouth, I ordered the Ube pana cotta. Oh my goodness!! This is such a stellar dessert!!! Ube was perfect. Not too sweet and the panna cotta was divine!!! I would go again just for this dessert.","Food - Dragon fruit refresher (absolutely delicious), Pork bun (enjoyed), Satays (enjoyed), Fresh spring roll (recommended but sticks to banana leaves if not eaten first), Green curry with filet mignon (rich with overpowering smokiness of the steak, on the spicier side), Crispy pad Thai (absolutely delicious but pretty spicy), Ube panna cotta (stellar dessert, perfect ube flavor, divine)||Service - Friendly and sweet"
"I've been here so many times I feel like I've tried everything on the menu at this point.
For the new things: we tried the beef skewers and although they were tasty they had a very strong, specific flavor to them with the fish sauce and Thai basil wrapping (I think?). Not necessarily something I'd order again. Along with that, we got the crispy pad Thai which id never had before - the crispy noodles were not my thing but the flavor of this dish was fantastic honestly. Trying to figure out how we get these flavors on their regular pad Thai!
Our go tos:
1. Soup Dumplings
2. Duck skewers
3. Salt & pepper calamari
4. Coconut fried rice
5. Pineapple fried rice
6. Shrimp panang curry
7. Filet mignon with onion

Make a ressie - you'll need it...but either way, go here. Fantastic food. Always great service. Plenty of parking and nice ambiance.","Food - Beef Skewers (tasty but very strong flavor), Crispy Pad Thai (crispy noodles not good but flavor was fantastic), Soup Dumplings (good), Duck skewers (good), Salt & pepper calamari (good), Coconut fried rice (good), Pineapple fried rice (good), Shrimp panang curry (good), Filet mignon with onion (good)||Service - great||Parking - plenty||Ambiance - nice"
"DEEE-LI-CIOUS!
Once you get past the slightly odd location in an apartment complex, the actual ambiance of the place is great. There's parking garages to park in for free so no issues there.
We started with the salt and pepper calamari along with the duck skewers. I'm not a huge fan of duck but with so many reviews on this dish, I had to give it a try and it was honestly delicious. Wasn't ""duck"" tasting at all! The calamari was also good and exactly what you would expect but I would have preferred a bigger portion for the price.
We then ordered the chicken pad Thai, seafood fried rice served in a coconut and the red curry with chicken. All 3 entrees were absolutely delicious with the perfect amount of heat for me without asking for any adjustments.
I would order the exact same meal again if I had to but ofcourse next time I'll want to try some of their other dishes as I'm sure they'll be as good!
Lastly, service was excellent. Our server was informative and very welcoming - cherry on top!","Food - Salt and pepper calamari (good but small portion), Duck skewers (delicious), Chicken pad Thai (absolutely delicious with perfect heat), Seafood fried rice served in a coconut (absolutely delicious with perfect heat), Red curry with chicken (absolutely delicious with perfect heat)||Location - odd||Ambiance - Great||Parking - free||Service - Informative and welcoming"
"This extremely modern restaurant has a great ambience with exceptional service. If you're looking for a spot for a date night or with friends, this is the spot for you! Food is flavorful, yet expressive and traditional!","Food - Flavorful, expressive and traditional||Ambiance - Great ambience||Service - Exceptional"
"I really enjoyed this hidden gem. The service was great and the food was too. There is parking in the retail garage across from it. If you're looking for a cute date spot, I think this is a good option.",Food - Great||Service - Great||Ambiance - Cute
